Nearest Neighbor
Nodes NN,Ave Cost NN,Min Cost NN,Max Cost NN,Ave CPU Time NN,Min CPU Time NN,Max CPU Time NN,Ave Real Time NN,Min Real Time NN,Max Real Time NN,Ave Expanded NN,Min Expanded NN,Max Expanded NN
5,2160.366666666667,1432,3014,0.0,0.0,0,0.0,0.0,0,4.0,4,4
10,3245.9,2049,4668,0.0,0.0,0,0.0,0.0,0,9.0,9,9
15,3806.6,2607,4777,0.0,0.0,0,0.0,0.0,0,14.0,14,14
20,4471.666666666667,3412,5299,0.0,0.0,0,3.350575764973958e-05,0.0,0.0010051727294921875,19.0,19,19
25,5131.5,4034,6638,0.0005208333333333333,0.0,0.015625,3.365675608317057e-05,0.0,0.0010097026824951172,24.0,24,24
30,5478.766666666666,4501,6560,0.0,0.0,0,3.2901763916015625e-05,0.0,0.0005004405975341797,29.0,29,29
Two Opt Nearest Neighbor
Nodes 2-Opt,Ave Cost 2-Opt,Min Cost 2-Opt,Max Cost 2-Opt,Ave CPU Time 2-Opt,Min CPU Time 2-Opt,Max CPU Time 2-Opt,Ave Real Time 2-Opt,Min Real Time 2-Opt,Max Real Time 2-Opt,Ave Expanded 2-Opt,Min Expanded 2-Opt,Max Expanded 2-Opt
5,2118.366666666667,1432,2813,0.0,0.0,0,0.0,0.0,0,4.4,4,6
10,3088.633333333333,1964,4494,0.0,0.0,0,3.608067830403646e-05,0.0,0.0010824203491210938,10.866666666666667,9,15
15,3591.4666666666667,2576,4276,0.0005208333333333333,0.0,0.015625,7.023811340332032e-05,0.0,0.001107931137084961,15.866666666666667,14,20
20,4203.233333333334,3327,5062,0.0,0.0,0,9.985764821370442e-05,0.0,0.0010025501251220703,22.133333333333333,19,31
25,4698.2,3900,5500,0.0,0.0,0,0.0002702077229817708,0.0,0.0011060237884521484,30.4,24,41
30,5017.6,4346,5839,0.0,0.0,0,0.00045258204142252604,0.0,0.00148773193359375,36.1,31,45
Randomized RNN
Nodes RNN,Ave Cost RNN,Min Cost RNN,Max Cost RNN,Ave CPU Time RNN,Min CPU Time RNN,Max CPU Time RNN,Ave Real Time RNN,Min Real Time RNN,Max Real Time RNN,Ave Expanded RNN,Min Expanded RNN,Max Expanded RNN
5,2064.366666666667,1432,2813,0.0,0.0,0,6.949106852213541e-05,0.0,0.0010950565338134766,19.966666666666665,17,26
10,2946.8,1901,3756,0.0005208333333333333,0.0,0.015625,0.0005072593688964844,0.0,0.0011098384857177734,120.4,106,140
15,3372.0333333333333,2459,4058,0.0020833333333333333,0.0,0.015625,0.0021276315053304034,0.0009953975677490234,0.004000425338745117,312.3666666666667,278,347
20,3778.4,3156,4433,0.00625,0.0,0.015625,0.006079188982645671,0.00494384765625,0.007901430130004883,604.2666666666667,547,662
25,4255.333333333333,3458,4913,0.015104166666666667,0.0,0.015625,0.01503142515818278,0.010895967483520508,0.01783442497253418,986.0666666666667,917,1034
30,4661.166666666667,4094,5202,0.034895833333333334,0.015625,0.0625,0.03794927597045898,0.030489206314086914,0.07299256324768066,1472.6,1386,1631
A* MST
Nodes,Ave Cost,Min Cost,Max Cost,Ave CPU Time,Min CPU Time,Max CPU Time,Ave Real Time,Min Real Time,Max Real Time,Ave Expanded,Min Expanded,Max Expanded
5,2060.866666666667,1432,2813,0.0005208333333333333,0.0,0.015625,0.0008122762044270833,0.0,0.0015492439270019531,49.53333333333333,33,61

Hill Climbing
Graph Number,Real Time,Path Cost
1,0.004323244094848633,4026
2,0.0051081180572509766,3549
3,0.00503230094909668,4169
4,0.0041773319244384766,3457
5,0.004586458206176758,3198
6,0.0029256343841552734,3952
7,0.0049974918365478516,3261
8,0.0057353973388671875,3676
9,0.004995822906494141,3450
10,0.005003690719604492,4181
11,0.003226041793823242,4026
12,0.005876064300537109,3174
13,0.0039997100830078125,3339
14,0.005000114440917969,3330
15,0.004008293151855469,3252
16,0.005043506622314453,3850
17,0.003999233245849609,4537
18,0.004208564758300781,3261
19,0.005007743835449219,3859
20,0.00399327278137207,3616
21,0.004082202911376953,3365
22,0.006012439727783203,2310
23,0.004023075103759766,3295
24,0.004001140594482422,3362
25,0.0050013065338134766,4305
26,0.002998828887939453,3762
27,0.0060007572174072266,3162
28,0.004998445510864258,3447
29,0.005000114440917969,3191
30,0.00700068473815918,3066
Simulated Annealing
Graph Number,Real Time,Path Cost
1,0.04373621940612793,5362
2,0.04306149482727051,3560
3,0.04434084892272949,4857
4,0.04297590255737305,4409
5,0.04490494728088379,4632
6,0.04257798194885254,4786
7,0.04311013221740723,3805
8,0.044471025466918945,4637
9,0.043366432189941406,4886
10,0.04412245750427246,4415
11,0.04540443420410156,3924
12,0.049192190170288086,4586
13,0.04692649841308594,4086
14,0.04672431945800781,4405
15,0.042382001876831055,3718
16,0.04167890548706055,5082
17,0.04685020446777344,5323
18,0.051888465881347656,3735
19,0.049605369567871094,4569
20,0.044121742248535156,4207
21,0.04587745666503906,3919
22,0.042230844497680664,4343
23,0.043459177017211914,4046
24,0.04292583465576172,3441
25,0.046152591705322266,4740
26,0.050299882888793945,4247
27,0.046332359313964844,3442
28,0.04789423942565918,4338
29,0.04755997657775879,4619
30,0.043443918228149414,4329
Genetic Algorithm
Graph Number,Real Time,Path Cost
1,0.0042192935943603516,7441
2,0.0050029754638671875,5280
3,0.005630016326904297,6176
4,0.0050623416900634766,5714
5,0.005015373229980469,6537
6,0.006997108459472656,7574
7,0.003089427947998047,6037
8,0.005603790283203125,6345
9,0.008166313171386719,7439
10,0.004093170166015625,7123
11,0.010036945343017578,6724
12,0.005903005599975586,5954
13,0.006840705871582031,5426
14,0.004252910614013672,7132
15,0.004999399185180664,5379
16,0.008560419082641602,6660
17,0.005510568618774414,6696
18,0.005416154861450195,5919
19,0.005388021469116211,5892
20,0.004992246627807617,6761
21,0.005163908004760742,6414
22,0.007014036178588867,4117
23,0.006998300552368164,5664
24,0.00553441047668457,5229
25,0.0059871673583984375,8095
26,0.005326747894287109,6031
27,0.005305290222167969,5210
28,0.0069942474365234375,6638
29,0.005457162857055664,4815
30,0.00432276725769043,5466
